pct,month,bnf_name,bnf_code,items,cost
00C,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1
00C,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
00C,2014-11-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1650.93
00C,2015-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,30.21
00C,2015-09-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1656.19
00C,2016-01-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1653.26
00C,2016-03-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1656.96
00C,2016-06-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1657.12
00D,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,45.26
00D,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.15
00D,2014-04-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1652.85
00D,2015-05-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1655.52
00D,2016-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.12
00D,2017-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,3,45.43606
00D,2017-02-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,2,30.32285
00D,2017-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.16635
00D,2018-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,3,45.4802
00D,2019-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1845
00J,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.3
00J,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,30.16
00J,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.269999999999996
00J,2013-05-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1651.64
00J,2013-06-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1650.66
00J,2013-07-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1652.18
00J,2013-08-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1652.46
00J,2013-10-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1653.79
00J,2013-12-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1652.53
00J,2013-12-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1652.53
00J,2014-01-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1652.94
00J,2014-05-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1654.32
00J,2014-10-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,895.57
00J,2014-10-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1654.69
00J,2014-11-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,2,1787.07
00J,2014-12-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,894.97
00J,2015-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,30.21
00J,2015-01-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,894.18
00J,2015-03-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1657.03
00J,2015-03-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,3,2690.52
00J,2015-06-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,896.38
00J,2016-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.15
00J,2016-08-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,897.67
00J,2016-09-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1658.37
00J,2016-11-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1656.9
00J,2016-11-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,896.77
00J,2017-01-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,896.88384
00J,2017-03-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1659.67176
00J,2017-05-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1659.25702
00J,2017-05-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,898.04379
00J,2017-08-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1656.27255
00J,2017-08-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,896.42851
